SenderActor,Action,ReceiverActor,Date,Latitude,Longitude,Country,Source
govt,repress,anti,2011-12-11,30.0086,31.2122,Egypt,gdelt
govt,repress,anti,2011-12-11,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-16,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-16,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-16,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-16,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-16,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-17,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-17,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-17,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-17,30.6667,30.25,Egypt,gdelt
govt,repress,anti,2011-12-17,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-18,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-18,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-18,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-19,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-12-19,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-12-31,30.9333,29.5833,Egypt,gdelt
govt,repress,anti,2012-01-03,30.05,31.25,Egypt,gdelt
govt,repress,anti,2012-01-04,30.05,31.25,Egypt,gdelt
govt,repress,anti,2012-01-25,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-02-04,30.05,31.25,Egypt,gdelt
govt,repress,anti,2012-02-04,30.05,31.25,Egypt,gdelt
govt,repress,anti,2012-02-05,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-02-10,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-02-10,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-02-11,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-02-29,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-02-29,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-03-01,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-03-03,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-03-04,30.05,31.25,Egypt,gdelt
anti,protest,govt,2012-03-11,30.05,31.25,Egypt,gdelt
